Andrew,앤드류,-,Bill,America,K,2003,,1
Aoshi,아오시,-,Big Planet Made,Japan,K,2006,,2
Arctic,아틱,-,IST,Thailand,K,2008,,3
Baek Jaehyeon,백제현,-,Individual Trainee,Korea,K,2007,,4
Bang Junhyuk,방준혁,-,Top Media,Korea,K,2004,,5
Bang Suhwan,방수환,-,WITHUS,Korea,K,2004,,6
Bian Shiyu,비엔스위,卞士宇,Top Class,China,C,2006,,7
Cai Jinxin,차이진신,蔡锦昕,EE Media,China,C,2003,,8
Chen Bowen,천보원,陈博文,Individual Trainee,China,C,2008,,9
Chen Chaoyu,천차오위,陳昭宇,Individual Trainee,China,C,2005,,10
Chen Jinxin,첸진신,陈金鑫,Individual Trainee,China,C,1998,,11
Chen Kaiwen,천카이원,陈凯文,Chromosome,China,C,2005,,12
Chen Lichi,천리치,陈立其,TEN,Taiwan,C,2006,,13
Chen Zishuo,천즈슈어,陈梓烁,i.E.ONE,China,C,2003,,14
Cho Myeongsu,조명수,-,Individual Trainee,Korea,K,2005,,15
Choi Junseok,최준석,-,rbw,Korea,K,2007,,16
Chris,크리스,-,WUZO,America,K,2002,,17
