Andrew,앤드류,-,Bill,America,K,2003,,1
Aoshi,아오시,-,Big Planet Made,Japan,K,2006,,2
Arctic,아틱,-,IST,Thailand,K,2008,,3
Baek Jaehyeon,백제현,-,Individual Trainee,Korea,K,2007,,4
Bang Junhyuk,방준혁,-,Top Media,Korea,K,2004,,5
Bang Suhwan,방수환,-,WITHUS,Korea,K,2004,,6
Bian Shiyu,비엔스위,卞士宇,Top Class,China,C,2006,,7
Cai Jinxin,차이진신,蔡锦昕,EE Media,China,C,2003,,8
Chen Bowen,천보원,陈博文,Individual Trainee,China,C,2008,,9
Chen Chaoyu,천차오위,陳昭宇,Individual Trainee,China,C,2005,,10
Chen Jinxin,첸진신,陈金鑫,Individual Trainee,China,C,1998,,11
Chen Kaiwen,천카이원,陈凯文,Chromosome,China,C,2005,,12
Chen Lichi,천리치,陈立其,TEN,Taiwan,C,2006,,13
Chen Zishuo,천즈슈어,陈梓烁,i.E.ONE,China,C,2003,,14
Cho Myeongsu,조명수,-,Individual Trainee,Korea,K,2005,,15
Choi Junseok,최준석,-,RBW,Korea,K,2007,,16
Chris,크리스,-,WUZO,America,K,2002,,17
Chrisen Yang,크리센 양,杨淇森,RYCE,China,C,2004,,18
Chuei Liyu,최립우,崔立于,FNC,Taiwan,K,2004,,19
Chung Sanghyeon,정상현,-,Wakeone,Korea,K,2007,,20
Dang Honghai,당홍하이,邓鸿海,-,Vietnam,C,2003,,21
Ham Hyunseo,함현서,-,nCH,Korea,K,2007,,22
Han Harry June,한해리준,-,Brave,Korea,K,2004,,23
Heo Jio,허지오,-,Star on,Korea,K,2007,,24
Hsu Chingyu,쉬칭위,许謦宇,Wakeone,Taiwan,K,2009,,25
Hwang Sunwoo,황선우,-,Wakeone,Korea,K,2009,,26
Jang Haneum,장한음,-,ES NATION,Korea,K,2004,,27
Jang Taeyoon,장태윤,-,iNKODE,Korea,K,2006,,28
Jo Gyehyeon,조계현,-,Jellyfish,Korea,K,1999,,29
Jeon Leejeong,전이정,-,CJes,Korea,K,2003,,30
Jung Hyunjun,정현준,-,Nouer,Korea,K,2009,,31
Justin,저스틴,-,Wakeone,New Zealand,K,2006,,32
Kang Woojin,강우진,-,Individual Trainee,Korea,K,2007,,33
Kenshiro,켄시로,健四郎,FNC,Japan,K,2004,,34
Kim Daniel,김다니엘,-Jellyfish,Korea,K,2009,,35
Kim Donghyun A,김동현,-,Individual Trainee,Korea,K,2003,,36
Kim Donghyun B,김동현,-,P Nation,Korea,K,2008,,37
Kim Dongyun,김동윤,-,Woollim,Korea,K,2002,,38
Kim Geonwoo,김건우,-,Individual Trainee,Korea,K,2003,,39
Kim Hyeonseo,김현서,-,Jellyfish,Korea,K,2007,,40
Kim Hyunbin,김현빈,-,Individual Trainee,Korea,K,2006,,41
Kim Inhu,김인후,-,Big Planet Made,Korea,K,2005,,42
Kim Jaehyun,김재현,-,Cube,Korea,K,2010,,43
Kim Junmin,김준민,-,CJes Studio,Korea,K,2002,,44
Kim Junseo,김준서,-,Oui,Korea,K,2001,,45
Kim Minjun,김민준,-,Individual Trainee,Korea,K,2003,,46
Kim Sihwan,김시환,-,IST,Korea,K,2005,,47
Kim Taejo,김태조,-,Choco,Korea,K,2010,,48
Kim Wonbin,김원빈,-,Individual Trainee,Korea,K,2006,,49
Kim Youngjun,김영준,-,Jellyfish,Korea,K,2010,,50
Kwon Gyuhyung,권규형,-,Individual Trainee,Korea,K,2006,,51
Lee Dongheon,이동헌,-,Jellyfish,Korea,K,1995,,52
Lee Hyeop,이협,-,Woollim,Korea,K,1999,,53
Lee Leo,이리오,-,Grid,Australia,K,2002,,54
Lee Sangwon,이상원,-,Grid,Korea,K,2003,,55
Lee Seungbaek,이승백,-,Woolim,Korea,K,2010,,56
